Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	5	Fluctuating	Left	Right	6763	11869	5106	1122	1118	0
2	5	Fluctuating	Right	Left	12650	15269	2619	164	164	0
3	5	Constant	Left	Right	17025	20345	3320	1126	1128	0
4	5	Constant	Right	Left	20921	24025	3104	155	155	0
5	5	Constant	Left	Right	24922	30049	5127	1132	1132	0
6	5	Fluctuating	Right	Left	30745	34937	4192	169	169	0
7	5	Fluctuating	Left	Right	35810	38260	2450	1121	1121	0
8	5	Constant	Right	Left	39977	45049	5072	163	163	0
9	5	Fluctuating	Left	Right	47001	50233	3232	1124	1124	0
10	5	Constant	Right	Left	50833	54952	4119	154	150	0
11	5	Constant	Left	Right	55975	60416	4441	1127	1127	0
12	5	Constant	Right	Left	61152	65434	4282	158	158	0
13	5	Fluctuating	Left	Right	66104	70584	4480	1128	1128	0
14	5	Fluctuating	Right	Left	71392	75732	4340	146	146	0
15	5	Fluctuating	Left	Right	76153	78834	2681	1117	1117	0
16	5	Fluctuating	Right	Left	79336	81848	2512	169	169	0
17	5	Fluctuating	Left	Right	82464	85119	2655	1128	1132	0
18	5	Constant	Right	Left	85698	87512	1814	162	162	0
19	5	Constant	Left	Right	88064	90560	2496	1113	1114	0
20	5	Constant	Right	Left	91064	93938	2874	149	149	0
21	3	Fluctuating	Left	Right	94720	96776	2056	1074	1074	0
22	3	Constant	Right	Left	97120	98495	1375	173	189	0
23	3	Fluctuating	Left	Right	98887	101407	2520	1065	1065	0
24	3	Constant	Right	Left	101767	103111	1344	210	211	0
25	3	Constant	Left	Right	103528	105007	1479	1104	1105	0
26	3	Fluctuating	Right	Left	105455	107240	1785	208	208	0
27	3	Fluctuating	Left	Right	107592	109583	1991	1111	1111	0
28	3	Constant	Right	Left	110002	112639	2637	187	194	0
29	3	Constant	Left	Right	113088	114799	1711	1146	1092	0
30	3	Fluctuating	Right	Left	115168	116805	1637	130	130	0
31	3	Constant	Left	Right	117087	118439	1352	1114	1114	0
32	3	Constant	Right	Left	118727	120081	1354	206	206	0
33	3	Fluctuating	Left	Right	120367	121847	1480	1111	1111	0
34	3	Fluctuating	Right	Left	122142	124751	2609	114	114	0
35	3	Constant	Left	Right	125047	127039	1992	1089	1089	0
36	3	Constant	Right	Left	127367	128719	1352	182	182	0
37	3	Constant	Left	Right	129099	130455	1356	1131	1131	0
38	3	Fluctuating	Right	Left	130743	132207	1464	123	123	0
39	3	Fluctuating	Left	Right	132528	134535	2007	1093	1067	0
40	3	Fluctuating	Right	Left	135024	137367	2343	128	127	0
41	4	Fluctuating	Left	Right	137759	139903	2144	1142	1142	0
42	4	Fluctuating	Right	Left	140313	143862	3549	141	129	0
43	4	Constant	Left	Right	144223	146399	2176	1099	1099	0
44	4	Fluctuating	Right	Left	146767	149190	2423	175	146	0
45	4	Fluctuating	Left	Right	149502	151534	2032	1115	1122	0
46	4	Fluctuating	Right	Left	151887	153326	1439	160	155	0
47	4	Constant	Left	Right	153686	155838	2152	1106	1106	0
48	4	Constant	Right	Left	156150	158406	2256	167	167	0
49	4	Fluctuating	Left	Right	158790	160281	1491	1125	1125	0
50	4	Constant	Right	Left	160622	162958	2336	183	183	0
51	4	Fluctuating	Left	Right	163303	165822	2519	1101	1101	0
52	4	Constant	Right	Left	166142	168334	2192	146	146	0
53	4	Fluctuating	Left	Right	168630	171470	2840	1126	1126	0
54	4	Fluctuating	Right	Left	171760	174854	3094	151	145	0
55	4	Fluctuating	Left	Right	175199	177151	1952	1112	1113	0
56	4	Constant	Right	Left	177559	178918	1359	155	155	0
57	4	Constant	Left	Right	179206	181399	2193	1106	1106	0
58	4	Constant	Right	Left	181677	184229	2552	141	132	0
59	4	Constant	Left	Right	184615	186768	2153	1127	1134	0
60	4	Constant	Right	Left	187037	189281	2244	169	169	0
61	2	Fluctuating	Left	Right	189853	190957	1104	1151	1151	0
62	2	Constant	Right	Left	191205	192358	1153	217	217	0
63	2	Constant	Left	Right	192619	193821	1202	984	984	0
64	2	Constant	Right	Left	194085	195239	1154	88	92	0
65	2	Fluctuating	Left	Right	195536	196549	1013	1032	1032	0
66	2	Fluctuating	Right	Left	196821	198285	1464	224	224	0
67	2	Constant	Left	Right	198526	199709	1183	1135	1135	0
68	2	Fluctuating	Right	Left	199957	201269	1312	188	188	0
69	2	Fluctuating	Left	Right	201479	203149	1670	1036	1036	0
70	2	Constant	Right	Left	203437	204621	1184	208	208	0
71	2	Fluctuating	Left	Right	204881	206158	1277	1227	1227	0
72	2	Constant	Right	Left	206373	208717	2344	270	270	0
73	2	Constant	Left	Right	208941	210109	1168	1111	1111	0
74	2	Constant	Right	Left	210325	211549	1224	263	263	0
75	2	Fluctuating	Left	Right	211838	213389	1551	1119	1132	0
76	2	Constant	Right	Left	213622	215053	1431	268	236	0
77	2	Constant	Left	Right	215445	217333	1888	1029	1029	0
78	2	Fluctuating	Right	Left	217645	218966	1321	179	179	0
79	2	Fluctuating	Left	Right	219237	220621	1384	1128	1037	0
80	2	Fluctuating	Right	Left	220917	222303	1386	257	257	0

Group	Sum	Mean	Std. Dev
C2	13931	1393.1	404.01304984424013
C3	15952	1595.2	423.6069456990105
C4	21613	2161.3	306.4089678119026
C5	36649	3664.9	1113.4662046460544
F2	13482	1348.2	194.34093752989872
F3	19892	1989.2	407.8016402342906
F4	23483	2348.3	677.8121749013102
F5	34267	3426.7	998.9876041940328
