Trial #	Fitts' ID	Delay Type	Origin	Target	Start Time	End Time	Total Time (ms)	Cursor Position (x)	Ball Position (x)	Errors
1	2	Fluctuating	Left	Right	9409	11760	2351	1996	1270	0
2	2	Fluctuating	Right	Left	16665	20190	3525	-3845	10	0
3	2	Fluctuating	Left	Right	23630	29912	6282	1503	1270	0
4	2	Constant	Right	Left	32678	34534	1856	100	134	0
5	2	Fluctuating	Left	Right	36606	39461	2855	1882	1270	0
6	2	Fluctuating	Right	Left	42062	43110	1048	-1565	10	0
7	2	Constant	Left	Right	46949	49789	2840	1738	1270	0
8	2	Fluctuating	Right	Left	52141	53391	1250	-933	10	0
9	2	Constant	Left	Right	55933	57342	1409	5316	1270	0
10	2	Constant	Right	Left	59045	60985	1940	-1006	10	0
11	2	Constant	Left	Right	61719	63151	1432	5007	1270	0
12	2	Fluctuating	Right	Left	63805	65492	1687	-1770	10	0
13	2	Constant	Left	Right	65893	67525	1632	3989	1270	0
14	2	Fluctuating	Right	Left	67981	69901	1920	-2166	10	0
15	2	Constant	Left	Right	70179	72191	2012	3706	1270	0
16	2	Fluctuating	Right	Left	72588	74972	2384	-2111	10	0
17	2	Fluctuating	Left	Right	75556	77341	1785	6674	1270	0
18	2	Constant	Right	Left	77711	79358	1647	-5573	10	0
19	2	Constant	Left	Right	79693	81229	1536	8619	1270	0
20	2	Constant	Right	Left	81548	83213	1665	-6577	10	0
21	5	Fluctuating	Right	Left	93316	104871	11555	161	161	1
22	5	Fluctuating	Left	Right	105806	116220	10414	1113	1114	0
23	5	Constant	Right	Left	117726	122700	4974	165	162	0
24	5	Fluctuating	Left	Right	124107	135051	10944	1133	1133	0
25	5	Fluctuating	Right	Left	135827	143875	8048	163	167	0
26	5	Constant	Left	Right	144291	148828	4537	1112	1108	0
27	5	Fluctuating	Right	Left	150667	157635	6968	162	162	0
28	5	Fluctuating	Left	Right	158083	161219	3136	1120	1120	0
29	5	Constant	Right	Left	161579	165477	3898	154	151	0
30	5	Fluctuating	Left	Right	200802	207402	6600	1115	1115	1
31	5	Fluctuating	Right	Left	211562	218249	6687	148	156	0
32	5	Constant	Left	Right	220281	226354	6073	1126	1124	0
33	5	Constant	Left	Right	229561	232889	3328	1119	1117	1
34	5	Fluctuating	Right	Left	234073	241427	7354	166	163	0
35	5	Fluctuating	Left	Right	242321	249425	7104	1102	1110	0
36	5	Constant	Right	Left	250313	255601	5288	161	161	0
37	5	Constant	Right	Left	261528	263864	2336	166	168	1
38	5	Constant	Right	Left	269536	275475	5939	160	162	2
39	5	Constant	Left	Right	275913	280225	4312	1115	1121	0
40	5	Constant	Right	Left	280819	284376	3557	142	146	0
41	4	Fluctuating	Left	Right	285233	289304	4071	1121	1117	0
42	4	Fluctuating	Right	Left	289544	293112	3568	135	145	0
43	4	Constant	Left	Right	293488	296434	2946	1116	1089	0
44	4	Constant	Right	Left	296896	299832	2936	172	165	0
45	4	Fluctuating	Right	Left	304160	306064	1904	147	151	1
46	4	Constant	Left	Right	306688	309128	2440	1193	1104	0
47	4	Constant	Right	Left	309881	314000	4119	165	170	0
48	4	Fluctuating	Right	Left	316831	318600	1769	20	167	1
49	4	Constant	Right	Left	322644	324055	1411	142	154	2
50	4	Constant	Left	Right	324872	327823	2951	1162	1118	0
51	4	Constant	Right	Left	328489	331791	3302	168	175	0
52	4	Fluctuating	Left	Right	332071	336471	4400	1041	1106	0
53	4	Fluctuating	Left	Right	341144	342288	1144	1156	1149	1
54	4	Fluctuating	Left	Right	346623	349211	2588	1192	1113	1
55	4	Fluctuating	Right	Left	355718	359198	3480	209	164	2
56	4	Constant	Left	Right	360177	362942	2765	1193	1127	0
57	4	Constant	Right	Left	363583	367134	3551	148	158	0
58	4	Fluctuating	Right	Left	370111	375030	4919	128	145	1
59	4	Fluctuating	Left	Right	375695	378918	3223	1122	1110	0
60	4	Constant	Right	Left	379502	383502	4000	153	154	0
61	3	Constant	Left	Right	384059	386327	2268	1242	1127	0
62	3	Fluctuating	Right	Left	387014	389071	2057	134	114	0
63	3	Fluctuating	Left	Right	389414	392621	3207	1310	1165	0
64	3	Fluctuating	Right	Left	393630	397541	3911	157	157	1
65	3	Fluctuating	Left	Right	398181	400454	2273	1262	1124	0
66	3	Constant	Left	Right	403685	406293	2608	1063	1063	1
67	3	Fluctuating	Right	Left	406869	410857	3988	261	173	0
68	3	Constant	Left	Right	411895	416175	4280	1126	1128	0
69	3	Fluctuating	Right	Left	416445	419734	3289	142	142	0
70	3	Fluctuating	Left	Right	419965	422469	2504	1156	1156	0
71	3	Constant	Right	Left	422870	425989	3119	154	136	0
72	3	Constant	Left	Right	426245	429325	3080	1051	1069	0
73	3	Fluctuating	Left	Right	431103	434253	3150	1040	1055	1
74	3	Constant	Right	Left	435262	439485	4223	183	192	0
75	3	Constant	Left	Right	439837	443589	3752	1131	1131	0
76	3	Fluctuating	Right	Left	443957	446997	3040	138	146	0
77	3	Constant	Left	Right	447310	449676	2366	1123	1127	0
78	3	Constant	Right	Left	449973	452540	2567	188	188	0
79	3	Fluctuating	Left	Right	453117	457244	4127	1180	1148	0
80	3	Constant	Right	Left	458984	462924	3940	183	185	0

Group	Sum	Mean	Std. Dev
C2	17969	1796.9	418.60122896246844
C3	29595	3288.3333333333335	789.0530717258504
C4	29010	3223.3333333333335	567.4839204770475
C5	32639	4662.714285714285	858.5824973535769
F2	25087	2508.7	1516.372575882619
F3	24485	3060.625	756.7443307636055
F4	15262	3815.5	522.5683368389887
F5	60655	7581.875	2413.2322389868978
